similarity,p0,p1,prob
0.9998834783380682,0.005251641137855579,0.005105762217359592,0.0051787016776075855
0.9998871196400035,0.008552779653387351,0.008496511366194013,0.008524645509790683
0.999890760941939,0.009699141286217334,0.009637363316241428,0.00966825230122938
0.9998944022438743,0.011903688339796194,0.011813508882676526,0.01185859861123636
0.9998980435458097,0.013436790310370931,0.013247539742619227,0.01334216502649508
0.999901684847745,0.015244107178832853,0.015176952521657378,0.015210529850245114
0.9999053261496804,0.027550610001340663,0.027485380116959064,0.027517995059149862
0.9999089674516157,0.027550610001340663,0.027485380116959064,0.027517995059149862
0.9999126087535511,0.04776579352850539,0.04562268803945746,0.046694240783981426
0.9999162500554865,0.06948640483383686,0.06915072171869754,0.0693185632762672
0.9999198913574219,0.09749074454956808,0.09707939119703826,0.09728506787330317
0.9999235326593573,0.10254219183935057,0.10232856227301859,0.10243537705618458
0.9999271739612926,0.1531272465851905,0.15298346513299785,0.1530553558590942
0.999930815263228,0.1531272465851905,0.15298346513299785,0.1530553558590942
0.9999344565651633,0.24078986147951664,0.24049513704686118,0.24064249926318892
0.9999380978670988,0.2879684418145957,0.2869822485207101,0.2874753451676529
0.9999417391690341,0.32297297297297295,0.3225225225225225,0.3227477477477477
0.9999453804709695,0.36793893129770994,0.36717557251908395,0.36755725190839694
0.9999490217729048,0.40901639344262297,0.4081967213114754,0.4086065573770492
0.9999526630748402,0.43523702874206793,0.43486375513251213,0.43505039193729
0.9999563043767755,0.5263157894736842,0.5253227408142999,0.525819265143992
0.9999599456787109,0.5692771084337349,0.5684357541899442,0.5688564313118396
0.9999635869806464,0.6711309523809523,0.6703869047619047,0.6707589285714285
0.9999672282825817,0.6711309523809523,0.6703869047619048,0.6707589285714286
0.9999708695845171,0.7367038739330269,0.7360472751149048,0.7363755745239658
0.9999745108864524,0.7367038739330269,0.7360472751149048,0.7363755745239658
0.9999781521883878,0.7856115107913669,0.7841726618705036,0.7848920863309352
0.9999817934903231,0.8173913043478261,0.8093126385809313,0.8133519714643787
0.9999854347922585,0.8904761904761904,0.8857142857142857,0.888095238095238
0.9999890760941939,0.9708029197080292,0.9671532846715328,0.968978102189781
0.9999927173961293,0.9832402234636871,0.9714285714285714,0.9773343974461293
0.9999963586980646,0.9832402234636871,0.9776536312849162,0.9804469273743017
1.0,1.0,0.9824561403508771,0.9912280701754386
