similarity,prob_exact_p0,prob_exact_p1,prob_partial_p0,prob_partial_p1
0.9997314629970012,9.150679666732246e-07,0.0,8.10422027270701e-06,0.0
0.9997317795758253,9.187410307906869e-07,0.0,8.225138490769337e-06,0.0
0.9997320961546492,9.214857298719872e-07,0.0,8.316872855806216e-06,0.0
0.9997324127334732,9.249590011922721e-07,0.0,8.43269863221628e-06,0.0
0.9997327293122972,9.279226780590827e-07,0.0,8.530130553648123e-06,0.0
0.9997330458911212,9.331474503612214e-07,0.0,8.664084769405383e-06,0.0
0.9997333624699453,9.37766970534424e-07,0.0,8.785763548745611e-06,0.0
0.9997336790487692,9.418279939534643e-07,0.0,8.888375338313785e-06,0.0
0.9997339956275932,9.472450797722444e-07,0.0,9.029182317249349e-06,0.0
0.9997343122064173,9.523138369295878e-07,0.0,9.161074594049881e-06,0.0
0.9997346287852412,9.561966322754612e-07,0.0,9.272051255899341e-06,0.0
0.9997349453640653,9.616762401536374e-07,0.0,9.42853640829334e-06,0.0
0.9997352619428892,9.668543008579866e-07,0.0,9.580241709498328e-06,0.0
0.9997355785217132,9.714509980687554e-07,0.0,9.72738989810559e-06,0.0
0.9997358951005373,9.774655101294751e-07,0.0,9.968002711296736e-06,0.0
0.9997362116793612,9.831275647340345e-07,0.0,1.0197162129779282e-05,0.0
0.9997365282581853,9.878231045897224e-07,0.0,1.0386804603431799e-05,0.0
0.9997368448370092,9.934659742871136e-07,0.0,1.0633659786688784e-05,0.0
0.9997371614158332,9.997950420163867e-07,0.0,1.0911848630835791e-05,0.0
0.9997374779946573,1.0046030913646328e-06,0.0,1.1137345747761391e-05,0.0
0.9997377945734812,1.0102949050827936e-06,0.0,1.1418197180847115e-05,0.0
0.9997381111523053,1.0165731927615922e-06,0.0,1.1727178909841447e-05,0.0
0.9997384277311293,1.021505760781738e-06,0.0,1.204006935079946e-05,0.0
0.9997387443099532,1.0273532811095416e-06,0.0,1.2469916326861445e-05,0.0
0.9997390608887773,1.0341197469302156e-06,0.0,1.302151153705922e-05,0.0
0.9997393774676012,1.0392234091308247e-06,0.0,1.3492363322359544e-05,0.0
0.9997396940464253,1.0459003842638011e-06,0.0,1.4180675992824576e-05,0.0
0.9997400106252493,1.0536930360373555e-06,0.0,1.5015353198645611e-05,0.0
0.9997403272040732,1.0600092432806015e-06,0.0,1.537491735981919e-05,7.687458679909595e-06
0.9997406437828973,1.0683760683760685e-06,0.0,1.537491735981919e-05,7.687458679909595e-06
